number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
181;181_CALLE_DEL_SALINAR;Zapadores, 23;39.4579670557495, -0.368282068629998;False;False;OPEN;valence;15;14;1;2026-03-07T12:59:31+01:00
56;056 - ARCHIMEDE / ARCHIMEDES;ARCHIMEDE / ARCHIMEDES - RUE ARCHIMEDE/ARCHIMEDESSTRAAT 58-64;50.845817, 4.383722;False;False;OPEN;Bruxelles-Capitale;25;22;1;2026-03-07T12:59:40+01:00
6;GALTEN;;55.7008134312229, 13.1956234574318;False;False;OPEN;lund;20;14;6;2026-03-07T12:57:53+01:00
149;149_AVDA. PERIS Y VALERO;Peris y Valero - Salamanca;39.4629020744664, -0.361886052119026;False;False;OPEN;valence;20;15;5;2026-03-07T12:58:18+01:00
9;城址公園東 CASTLE PARK EAST;本丸１番 1 Honmaru;36.693453, 137.212635;False;False;OPEN;toyama;16;10;6;2026-03-07T12:57:46+01:00
21;021_CALLE MANUEL VILLALOBOS;CALLE MANUEL VILLALOBOS - Aprox. C/ Madre San Marcelo;37.4054735478923, -5.98152718123615;False;False;OPEN;seville;20;20;0;2026-03-07T12:59:09+01:00
92;00092 - CHALETS - DOUVILLÉ;31 RUE DES CHALETS;43.613149, 1.441326;False;False;OPEN;toulouse;15;12;3;2026-03-07T12:58:38+01:00
83;083 - SIMONIS;SIMONIS / BD LEOPOLD II (DEVANT 282)/ LEOPOLD II-LAAN (N° 282);50.86284, 4.33126;False;False;OPEN;Bruxelles-Capitale;29;12;17;2026-03-07T12:57:56+01:00
97;097-SAINT DONATIEN;Place du 51ème Régiment d'Artillerie;47.2290880870929, -1.54029259428922;False;False;OPEN;nantes;19;6;13;2026-03-07T12:57:56+01:00
12;012-DELORME;1, boulevard Gabriel Guist'Hau - Place Delorme;47.2151581886857, -1.56390067346586;True;False;OPEN;nantes;20;4;16;2026-03-07T12:58:40+01:00
67;00067 - GUESDE - OZENNE;35 ALL JULES GUESDE;43.594812, 1.449176;False;False;OPEN;toulouse;22;21;1;2026-03-07T12:58:56+01:00
357;00357 - BELIN - TARFAYA;23, avenue Edouard Belin;43.562329, 1.48431;False;False;OPEN;toulouse;13;11;2;2026-03-07T12:57:47+01:00
25;025 - AUBERGE DE JEUNESSE;025 - AUBERGE DE JEUNESSE - AVENUE FELICIEN ROPS;50.448224, 4.859506;False;False;OPEN;namur;15;6;9;2026-03-07T12:59:16+01:00
9;UNIVERSITETSSJUKHUSET;;55.7140482, 13.1988589;False;False;OPEN;lund;30;13;17;2026-03-07T12:57:46+01:00
169;169_AVENIDA RAMÓN Y CAJAL;AVENIDA RAMÓN Y CAJAL - Aprox. C/ Villegas Marmolejo;37.376585, -5.972616;False;False;OPEN;seville;20;15;5;2026-03-07T12:58:04+01:00
84;HOFER - POLJE;Polje 51;46.053718, 14.589284;False;False;OPEN;ljubljana;20;0;20;2026-03-07T12:58:42+01:00
2004;02004 - GRENADE - GAUGUIN;Face 2, rue Claude Monet - Blagnac;43.641431, 1.387603;False;False;OPEN;toulouse;16;2;14;2026-03-07T12:59:15+01:00
27;027 - SQUARE ALBERT I / ALBERT I SQUARE;SQUARE ALBERT I / ALBERT I-SQUARE 25 - 26 - 27;50.838733, 4.32176;False;False;OPEN;Bruxelles-Capitale;25;13;10;2026-03-07T12:58:08+01:00
235;235 - FOREST NATIONAL / VORST NATIONAAL;FOREST NATIONAL / VORST NATIONAAL - AV VICTOR ROUSSEAU DVT FOREST NATIONAL / VICTOR ROUSSEAU LAAN VOOR VORST NATIONAAL;50.810085, 4.324864;False;False;OPEN;Bruxelles-Capitale;25;10;13;2026-03-07T12:58:45+01:00
355;355 - PARNASSE / PARNASSUS;Rue du Trône 66 / Troonstraat 66;50.837738, 4.3692;False;False;OPEN;Bruxelles-Capitale;22;9;13;2026-03-07T12:59:05+01:00
65;VIŠKO POLJE;Cesta na Brdo;46.046189, 14.469037;False;False;OPEN;ljubljana;20;12;8;2026-03-07T12:57:52+01:00
61;HARDWICKE PLACE;Hardwicke Place;53.357043, -6.263232;False;False;OPEN;dublin;25;25;0;2026-03-07T12:58:48+01:00
132;132 - DEUX CHAUSSEES / TWEESTEENWEGEN;Chau. de Tervuren / Tervurenlaan 93A;50.816338, 4.433895;False;False;OPEN;Bruxelles-Capitale;19;7;12;2026-03-07T12:57:59+01:00
